4.3.0 2025-07-01 07:04:18,003 INFO 51148 - Fetching apps after 818.7097764459365 secs
4.3.0 2025-07-08 06:05:41,990 INFO 113368 - Deleting C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751857854.csv as they are previous synced files
4.3.0 2025-07-09 05:59:43,068 INFO 170056 - Fetching apps after 548.7100914878188 secs
4.3.0 2025-07-09 06:08:51,797 INFO 170056 - Found a synced splunkbase file
4.3.0 2025-07-09 06:08:51,797 INFO 170056 - splunkbase_path- C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751943941.csv
4.3.0 2025-07-09 06:08:51,974 INFO 170056 - Initial call to splunkbase API
4.3.0 2025-07-09 06:08:52,717 INFO 170056 - Successfully fetched all the apps
4.3.0 2025-07-09 06:08:52,749 INFO 170056 - Writing to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752030532.csv
4.3.0 2025-07-09 06:08:52,775 INFO 170056 - Successfully written to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752030532.csv
4.3.0 2025-07-09 06:08:52,776 INFO 170056 - Deleting C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751943941.csv as they are previous synced files
4.3.0 2025-07-09 06:08:54,626 INFO 174504 - Fetching apps after 526.8770817147279 secs
4.3.0 2025-07-09 06:17:41,520 INFO 174504 - Found a synced splunkbase file
4.3.0 2025-07-09 06:17:41,521 INFO 174504 - splunkbase_path- C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752030532.csv
4.3.0 2025-07-09 06:17:41,725 INFO 174504 - Initial call to splunkbase API
4.3.0 2025-07-09 06:17:42,258 INFO 174504 - Successfully fetched all the apps
4.3.0 2025-07-09 06:17:42,294 INFO 174504 - Writing to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752031062.csv
4.3.0 2025-07-09 06:17:42,315 INFO 174504 - Successfully written to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752031062.csv
4.3.0 2025-07-09 06:17:42,315 INFO 174504 - Deleting C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752030532.csv as they are previous synced files
4.3.0 2025-07-10 06:00:02,613 INFO 203488 - Fetching apps after 1052.3147971310527 secs
4.3.0 2025-07-10 06:17:34,961 INFO 203488 - Found a synced splunkbase file
4.3.0 2025-07-10 06:17:34,962 INFO 203488 - splunkbase_path- C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752031062.csv
4.3.0 2025-07-10 06:17:35,180 INFO 203488 - Initial call to splunkbase API
4.3.0 2025-07-10 06:17:35,717 INFO 203488 - Successfully fetched all the apps
4.3.0 2025-07-10 06:17:35,740 INFO 203488 - Writing to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752117455.csv
4.3.0 2025-07-10 06:17:35,760 INFO 203488 - Successfully written to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752117455.csv
4.3.0 2025-07-10 06:17:35,760 INFO 203488 - Deleting C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752031062.csv as they are previous synced files
4.3.0 2025-07-11 06:00:03,617 INFO 219260 - Fetching apps after 1026.7414458538767 secs
4.3.0 2025-07-11 06:17:10,391 INFO 219260 - Found a synced splunkbase file
4.3.0 2025-07-11 06:17:10,391 INFO 219260 - splunkbase_path- C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752117455.csv
4.3.0 2025-07-11 06:17:10,576 INFO 219260 - Initial call to splunkbase API
4.3.0 2025-07-11 06:17:11,063 INFO 219260 - Successfully fetched all the apps
4.3.0 2025-07-11 06:17:11,084 INFO 219260 - Writing to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752203831.csv
4.3.0 2025-07-11 06:17:11,111 INFO 219260 - Successfully written to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752203831.csv
4.3.0 2025-07-11 06:17:11,111 INFO 219260 - Deleting C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752117455.csv as they are previous synced files
4.3.0 2025-07-12 06:00:02,817 INFO 244172 - Fetching apps after 764.2710938948529 secs
4.3.0 2025-07-12 06:12:47,126 INFO 244172 - Found a synced splunkbase file
4.3.0 2025-07-12 06:12:47,127 INFO 244172 - splunkbase_path- C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752203831.csv
4.3.0 2025-07-12 06:12:47,318 INFO 244172 - Initial call to splunkbase API
4.3.0 2025-07-12 06:12:47,880 INFO 244172 - Successfully fetched all the apps
4.3.0 2025-07-12 06:12:47,902 INFO 244172 - Writing to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752289967.csv
4.3.0 2025-07-12 06:12:47,921 INFO 244172 - Successfully written to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752289967.csv
4.3.0 2025-07-12 06:12:47,921 INFO 244172 - Deleting C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752203831.csv as they are previous synced files
4.3.0 2025-07-13 06:00:02,655 INFO 252256 - Fetching apps after 506.01427204990733 secs
4.3.0 2025-07-13 06:08:28,691 INFO 252256 - Found a synced splunkbase file
4.3.0 2025-07-13 06:08:28,692 INFO 252256 - splunkbase_path- C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752289967.csv
4.3.0 2025-07-13 06:08:28,898 INFO 252256 - Initial call to splunkbase API
4.3.0 2025-07-13 06:08:29,461 INFO 252256 - Successfully fetched all the apps
4.3.0 2025-07-13 06:08:29,495 INFO 252256 - Writing to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752376109.csv
4.3.0 2025-07-13 06:08:29,514 INFO 252256 - Successfully written to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752376109.csv
4.3.0 2025-07-13 06:08:29,514 INFO 252256 - Deleting C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1752289967.csv as they are previous synced files
